StockCode,Predicted_7d_Demand,Current_Stock,Inventory_Status
10002,0.4070573,0,UNDERSTOCKED
10080,2.0214741,4,OVERSTOCKED
10109,0.033456143,0,UNDERSTOCKED
10120,1.9726655,3,OVERSTOCKED
10123C,0.30048433,0,UNDERSTOCKED
10123G,0.3455335,0,UNDERSTOCKED
10124A,0.19694902,0,UNDERSTOCKED
10124G,0.19972621,0,UNDERSTOCKED
10125,4.6265903,7,OVERSTOCKED
10133,10.275503,19,OVERSTOCKED
10134,0.23987696,0,UNDERSTOCKED
10135,10.892109,26,OVERSTOCKED
10138,0.1558476,0,UNDERSTOCKED
11001,10.750155,9,HEALTHY
15030,0.8833337,0,UNDERSTOCKED
15034,23.695354,20,HEALTHY
15036,78.67598,87,HEALTHY
15039,6.780918,10,HEALTHY
15044A,4.1621966,5,HEALTHY
15044B,0.8336226,0,UNDERSTOCKED
15044C,2.4443383,4,OVERSTOCKED
15044D,3.6757963,2,UNDERSTOCKED
15056BL,30.694668,33,HEALTHY
15056N,35.394714,43,HEALTHY
15056P,6.8779416,9,HEALTHY
15058A,0.9448834,1,HEALTHY
15058B,0.66774535,0,UNDERSTOCKED
15058C,0.428122,0,UNDERSTOCKED
15059A,0.033456143,0,UNDERSTOCKED
15060B,5.07644,3,UNDERSTOCKED
16008,18.866154,32,OVERSTOCKED
16010,0.12342077,0,UNDERSTOCKED
16011,9.732148,6,UNDERSTOCKED
16012,3.0087595,7,OVERSTOCKED
16014,14.270042,34,OVERSTOCKED
16015,2.617404,5,OVERSTOCKED
16016,6.789309,7,HEALTHY
16020C,0.1328595,0,UNDERSTOCKED
16033,0.42879474,0,UNDERSTOCKED
16043,0.3455335,0,UNDERSTOCKED
16044,0.39383316,0,UNDERSTOCKED
16045,51.429504,76,HEALTHY
16046,2.182802,1,UNDERSTOCKED
16047,0.4515384,1,OVERSTOCKED
16048,9.428717,9,HEALTHY
16049,0.35408568,0,UNDERSTOCKED
16050,0.18483311,0,UNDERSTOCKED
16051,0.35132626,0,UNDERSTOCKED
16052,0.35968128,0,UNDERSTOCKED
16053,0.36868262,0,UNDERSTOCKED
16054,6.9196424,16,OVERSTOCKED
16119,0.033456143,0,UNDERSTOCKED
16151A,0.13085252,0,UNDERSTOCKED
16156L,1.233845,2,OVERSTOCKED
16156N,0.36045417,0,UNDERSTOCKED
16156S,42.364445,99,OVERSTOCKED
16161C,0.033456143,0,UNDERSTOCKED
16161E,0.18762368,0,UNDERSTOCKED
16161G,3.2354083,1,UNDERSTOCKED
16161M,0.35968128,0,UNDERSTOCKED
16161P,53.62366,68,HEALTHY
16161U,27.539787,28,HEALTHY
16162L,0.9950737,2,OVERSTOCKED
16162M,0.47058508,0,UNDERSTOCKED
16168M,1.4478599,1,UNDERSTOCKED
16168S,0.25730988,0,UNDERSTOCKED
16169A,0.10128805,0,UNDERSTOCKED
16169C,0.3606576,0,UNDERSTOCKED
16169D,0.033456143,0,UNDERSTOCKED
16169E,77.30081,191,OVERSTOCKED
16169F,0.3079004,0,UNDERSTOCKED
16169G,0.033456143,0,UNDERSTOCKED
16169K,1.1752267,0,UNDERSTOCKED
16169M,3.1130567,6,OVERSTOCKED
16169N,0.3541811,0,UNDERSTOCKED
16169P,0.34210923,0,UNDERSTOCKED
16201A,0.13547264,0,UNDERSTOCKED
16201B,0.033456143,0,UNDERSTOCKED
16202A,0.304033,0,UNDERSTOCKED
16202B,0.3606576,0,UNDERSTOCKED
16202C,0.13547264,0,UNDERSTOCKED
16202E,0.1328595,0,UNDERSTOCKED
16206B,0.17495157,0,UNDERSTOCKED
16207A,0.22930834,0,UNDERSTOCKED
16207B,0.12069222,0,UNDERSTOCKED
16212,0.23026262,0,UNDERSTOCKED
16215,0.033456143,0,UNDERSTOCKED
16216,10.007176,17,OVERSTOCKED
16218,17.107687,38,OVERSTOCKED
16219,13.301098,19,HEALTHY
16225,5.494009,4,UNDERSTOCKED
16235,12.64719,24,OVERSTOCKED
16236,9.479137,19,OVERSTOCKED
16237,37.303234,60,OVERSTOCKED
16238,9.012575,18,OVERSTOCKED
16239,0.23328224,0,UNDERSTOCKED
16243B,0.21539108,0,UNDERSTOCKED
16244A,0.18762368,0,UNDERSTOCKED
16244B,0.23026262,0,UNDERSTOCKED
16245A,0.054290794,0,UNDERSTOCKED
16248B,0.36758184,0,UNDERSTOCKED
16254,1.2579944,2,OVERSTOCKED
16256B,0.25738144,0,UNDERSTOCKED
16256C,0.18483311,0,UNDERSTOCKED
16258A,2.811985,6,OVERSTOCKED
16258B,0.033456143,0,UNDERSTOCKED
16259,5.6034718,7,HEALTHY
17001,0.3630414,0,UNDERSTOCKED
17003,115.13216,110,HEALTHY
17007B,0.12342077,0,UNDERSTOCKED
17011A,0.21530247,0,UNDERSTOCKED
17011B,0.09383606,0,UNDERSTOCKED
17011C,0.033456143,0,UNDERSTOCKED
17011D,0.075082846,0,UNDERSTOCKED
17011E,0.033456143,0,UNDERSTOCKED
17011F,0.21461298,0,UNDERSTOCKED
17012A,2.90203,6,OVERSTOCKED
17012B,3.031285,2,UNDERSTOCKED
17012C,3.4992747,7,OVERSTOCKED
17012D,3.578007,5,HEALTHY
17012E,0.13085252,0,UNDERSTOCKED
17012F,3.3614795,7,OVERSTOCKED
17013B,0.033456143,0,UNDERSTOCKED
17013C,0.17495157,0,UNDERSTOCKED
17013D,0.35968128,0,UNDERSTOCKED
17013F,0.1328595,0,UNDERSTOCKED
17014A,0.21530247,0,UNDERSTOCKED
17014C,0.033456143,0,UNDERSTOCKED
17014D,0.28960696,0,UNDERSTOCKED
17014E,0.17495157,0,UNDERSTOCKED
17014F,0.1328595,0,UNDERSTOCKED
17021,7.893909,7,HEALTHY
17027A,0.21539108,0,UNDERSTOCKED
17028J,0.04765362,0,UNDERSTOCKED
17033,0.34843498,0,UNDERSTOCKED
17038,3.899079,4,HEALTHY
17039,0.3529577,0,UNDERSTOCKED
17061,0.033456143,0,UNDERSTOCKED
17084A,0.46823454,0,UNDERSTOCKED
17084G,0.033456143,0,UNDERSTOCKED
17084J,0.46990582,1,OVERSTOCKED
17084N,5.281781,5,HEALTHY
17084P,1.8880703,2,HEALTHY
17084R,12.000759,13,HEALTHY
17090A,0.38764024,0,UNDERSTOCKED
17090D,0.17683208,0,UNDERSTOCKED
17091A,0.34902966,0,UNDERSTOCKED
17091B,0.21539108,0,UNDERSTOCKED
17091F,0.033456143,0,UNDERSTOCKED
17091J,11.63117,12,HEALTHY
17096,0.4211001,0,UNDERSTOCKED
17107D,1.7630867,1,UNDERSTOCKED
17108D,0.21530247,0,UNDERSTOCKED
17109A,0.29827547,0,UNDERSTOCKED
17109B,0.36868262,0,UNDERSTOCKED
17109C,0.34917584,0,UNDERSTOCKED
17109D,0.35189867,0,UNDERSTOCKED
17129C,0.1728367,0,UNDERSTOCKED
17129D,0.25738144,0,UNDERSTOCKED
17129F,1.5666175,3,OVERSTOCKED
